epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1584012074524,2020-03-12T11:21:14.524,0.000,0.209,-0.070,0.934
1584012074545,2020-03-12T11:21:14.545,0.021,0.214,-0.071,0.943
1584012074564,2020-03-12T11:21:14.564,0.040,0.208,-0.069,0.939
1584012074584,2020-03-12T11:21:14.584,0.060,0.200,-0.067,0.938
1584012074603,2020-03-12T11:21:14.603,0.079,0.199,-0.068,0.943
1584012074624,2020-03-12T11:21:14.624,0.100,0.205,-0.063,0.940
1584012074643,2020-03-12T11:21:14.643,0.119,0.211,-0.064,0.937
1584012074663,2020-03-12T11:21:14.663,0.139,0.218,-0.069,0.940
1584012074682,2020-03-12T11:21:14.682,0.158,0.214,-0.071,0.941
1584012074703,2020-03-12T11:21:14.703,0.179,0.205,-0.068,0.938
1584012074723,2020-03-12T11:21:14.723,0.199,0.205,-0.068,0.938
1584012074742,2020-03-12T11:21:14.742,0.218,0.214,-0.068,0.937
1584012074763,2020-03-12T11:21:14.763,0.239,0.224,-0.067,0.940
1584012074782,2020-03-12T11:21:14.782,0.258,0.231,-0.065,0.936
1584012074802,2020-03-12T11:21:14.802,0.278,0.232,-0.066,0.936
1584012074823,2020-03-12T11:21:14.823,0.299,0.229,-0.069,0.936
1584012074842,2020-03-12T11:21:14.842,0.318,0.230,-0.067,0.936
1584012074862,2020-03-12T11:21:14.862,0.338,0.228,-0.066,0.936
1584012074881,2020-03-12T11:21:14.881,0.357,0.220,-0.067,0.940
1584012074902,2020-03-12T11:21:14.902,0.378,0.213,-0.067,0.939
1584012074921,2020-03-12T11:21:14.921,0.397,0.215,-0.069,0.938
1584012074942,2020-03-12T11:21:14.942,0.418,0.224,-0.072,0.939
1584012074961,2020-03-12T11:21:14.961,0.437,0.227,-0.068,0.937
1584012074981,2020-03-12T11:21:14.981,0.457,0.226,-0.065,0.938
1584012075002,2020-03-12T11:21:15.002,0.478,0.226,-0.069,0.939
1584012075021,2020-03-12T11:21:15.021,0.497,0.225,-0.069,0.938
1584012075041,2020-03-12T11:21:15.041,0.517,0.220,-0.070,0.940
1584012075060,2020-03-12T11:21:15.060,0.536,0.216,-0.064,0.937
1584012075081,2020-03-12T11:21:15.081,0.557,0.214,-0.058,0.939
1584012075100,2020-03-12T11:21:15.100,0.576,0.218,-0.063,0.940
1584012075120,2020-03-12T11:21:15.120,0.596,0.213,-0.069,0.941
1584012075141,2020-03-12T11:21:15.141,0.617,0.200,-0.067,0.942
1584012075160,2020-03-12T11:21:15.160,0.636,0.198,-0.068,0.942
1584012075180,2020-03-12T11:21:15.180,0.656,0.206,-0.070,0.941
1584012075199,2020-03-12T11:21:15.199,0.675,0.214,-0.071,0.942
1584012075220,2020-03-12T11:21:15.220,0.696,0.218,-0.067,0.939
1584012075239,2020-03-12T11:21:15.239,0.715,0.216,-0.067,0.940
1584012075259,2020-03-12T11:21:15.259,0.735,0.219,-0.065,0.939
1584012075280,2020-03-12T11:21:15.280,0.756,0.220,-0.065,0.938
1584012075299,2020-03-12T11:21:15.299,0.775,0.219,-0.064,0.938
1584012075319,2020-03-12T11:21:15.319,0.795,0.220,-0.065,0.943
1584012075338,2020-03-12T11:21:15.338,0.814,0.217,-0.064,0.943
1584012075359,2020-03-12T11:21:15.359,0.835,0.213,-0.065,0.940
1584012075378,2020-03-12T11:21:15.378,0.854,0.215,-0.070,0.940
1584012075399,2020-03-12T11:21:15.399,0.875,0.213,-0.072,0.940
1584012075419,2020-03-12T11:21:15.419,0.895,0.210,-0.070,0.940
1584012075438,2020-03-12T11:21:15.438,0.914,0.206,-0.066,0.940
1584012075459,2020-03-12T11:21:15.459,0.935,0.205,-0.064,0.941
1584012075478,2020-03-12T11:21:15.478,0.954,0.212,-0.066,0.941
1584012075498,2020-03-12T11:21:15.498,0.974,0.216,-0.067,0.939
1584012075517,2020-03-12T11:21:15.517,0.993,0.214,-0.068,0.941
1584012075538,2020-03-12T11:21:15.538,1.014,0.206,-0.069,0.942
1584012075558,2020-03-12T11:21:15.558,1.034,0.204,-0.065,0.942
1584012075577,2020-03-12T11:21:15.577,1.053,0.206,-0.065,0.941
1584012075598,2020-03-12T11:21:15.598,1.074,0.213,-0.067,0.941
1584012075617,2020-03-12T11:21:15.617,1.093,0.219,-0.067,0.940
1584012075637,2020-03-12T11:21:15.637,1.113,0.222,-0.070,0.941
1584012075656,2020-03-12T11:21:15.656,1.132,0.221,-0.069,0.938
1584012075677,2020-03-12T11:21:15.677,1.153,0.215,-0.067,0.939
1584012075697,2020-03-12T11:21:15.697,1.173,0.211,-0.068,0.944
1584012075716,2020-03-12T11:21:15.716,1.192,0.211,-0.069,0.940
1584012075737,2020-03-12T11:21:15.737,1.213,0.214,-0.066,0.936
1584012075756,2020-03-12T11:21:15.756,1.232,0.216,-0.068,0.942
1584012075776,2020-03-12T11:21:15.776,1.252,0.217,-0.067,0.942
1584012075796,2020-03-12T11:21:15.796,1.272,0.216,-0.066,0.939
1584012075816,2020-03-12T11:21:15.816,1.292,0.212,-0.069,0.941
1584012075835,2020-03-12T11:21:15.835,1.311,0.205,-0.069,0.943
1584012075856,2020-03-12T11:21:15.856,1.332,0.203,-0.067,0.942
1584012075876,2020-03-12T11:21:15.876,1.352,0.207,-0.067,0.940
