epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1584012601327,2020-03-12T11:30:01.327,0.000,0.137,1.059,0.816
1584012601346,2020-03-12T11:30:01.346,0.019,0.175,1.113,0.152
1584012601367,2020-03-12T11:30:01.367,0.040,0.297,0.808,0.252
1584012601386,2020-03-12T11:30:01.386,0.059,0.373,-0.229,0.206
1584012601406,2020-03-12T11:30:01.406,0.079,0.168,-0.770,-0.008
1584012601427,2020-03-12T11:30:01.427,0.100,-0.282,-0.671,-0.152
1584012601446,2020-03-12T11:30:01.446,0.119,-0.091,-0.183,-0.122
1584012601466,2020-03-12T11:30:01.466,0.139,0.389,0.122,-0.130
1584012601486,2020-03-12T11:30:01.486,0.159,0.716,-0.038,-0.114
1584012601506,2020-03-12T11:30:01.506,0.179,0.678,-0.930,-0.160
1584012601525,2020-03-12T11:30:01.525,0.198,0.564,-2.470,-0.564
1584012601546,2020-03-12T11:30:01.546,0.219,0.648,-3.338,-1.021
1584012601566,2020-03-12T11:30:01.566,0.239,0.877,-2.843,-1.067
1584012601585,2020-03-12T11:30:01.585,0.258,0.854,-1.441,-0.838
1584012601606,2020-03-12T11:30:01.606,0.279,1.159,-0.320,-0.572
1584012601625,2020-03-12T11:30:01.625,0.298,1.479,0.122,-0.534
1584012601645,2020-03-12T11:30:01.645,0.318,1.380,-0.244,-0.640
1584012601664,2020-03-12T11:30:01.664,0.337,1.311,-1.029,-0.678
1584012601685,2020-03-12T11:30:01.685,0.358,1.128,-1.723,-0.800
1584012601705,2020-03-12T11:30:01.705,0.378,1.021,-1.715,-0.633
1584012601724,2020-03-12T11:30:01.724,0.397,0.777,-0.747,-0.404
1584012601745,2020-03-12T11:30:01.745,0.418,0.747,-0.274,-0.282
1584012601764,2020-03-12T11:30:01.764,0.437,0.823,-0.617,-0.450
1584012601784,2020-03-12T11:30:01.784,0.457,0.671,-1.082,-0.526
1584012601803,2020-03-12T11:30:01.803,0.476,0.648,-0.396,-0.351
1584012601824,2020-03-12T11:30:01.824,0.497,0.625,0.663,-0.038
1584012601844,2020-03-12T11:30:01.844,0.517,0.595,0.922,0.084
1584012601863,2020-03-12T11:30:01.863,0.536,0.838,0.534,-0.008
1584012601884,2020-03-12T11:30:01.884,0.557,1.334,0.457,-0.145
1584012601903,2020-03-12T11:30:01.903,0.576,1.502,0.724,-0.137
1584012601924,2020-03-12T11:30:01.924,0.597,1.303,0.877,-0.168
1584012601943,2020-03-12T11:30:01.943,0.616,1.395,0.732,-0.213
1584012601963,2020-03-12T11:30:01.963,0.636,1.425,0.808,-0.320
1584012601982,2020-03-12T11:30:01.982,0.655,1.494,1.075,-0.252
1584012602003,2020-03-12T11:30:02.003,0.676,1.509,1.410,-0.152
1584012602023,2020-03-12T11:30:02.023,0.696,1.540,1.524,-0.069
1584012602042,2020-03-12T11:30:02.042,0.715,1.563,1.410,0.030
1584012602063,2020-03-12T11:30:02.063,0.736,1.502,1.258,0.038
1584012602082,2020-03-12T11:30:02.082,0.755,1.014,0.892,-0.084
1584012602102,2020-03-12T11:30:02.102,0.775,0.671,0.221,-0.335
1584012602121,2020-03-12T11:30:02.121,0.794,0.648,-0.511,-0.427
1584012602142,2020-03-12T11:30:02.142,0.815,0.595,-0.793,-0.526
1584012602162,2020-03-12T11:30:02.162,0.835,0.694,-0.587,-0.526
1584012602181,2020-03-12T11:30:02.181,0.854,0.777,-0.282,-0.473
1584012602202,2020-03-12T11:30:02.202,0.875,0.694,-0.389,-0.450
1584012602221,2020-03-12T11:30:02.221,0.894,0.488,-0.556,-0.503
1584012602241,2020-03-12T11:30:02.241,0.914,0.480,-0.495,-0.602
1584012602260,2020-03-12T11:30:02.260,0.933,0.579,-0.114,-0.541
1584012602281,2020-03-12T11:30:02.281,0.954,0.564,-0.015,-0.473
1584012602301,2020-03-12T11:30:02.301,0.974,0.770,-0.183,-0.473
1584012602320,2020-03-12T11:30:02.320,0.993,0.846,0.030,-0.389
1584012602341,2020-03-12T11:30:02.341,1.014,0.983,0.770,-0.206
1584012602360,2020-03-12T11:30:02.360,1.033,1.059,1.220,-0.030
1584012602381,2020-03-12T11:30:02.381,1.054,1.113,0.831,-0.122
1584012602400,2020-03-12T11:30:02.400,1.073,0.877,0.442,-0.274
1584012602420,2020-03-12T11:30:02.420,1.093,0.724,0.366,-0.320
1584012602441,2020-03-12T11:30:02.441,1.114,0.960,0.671,-0.221
1584012602460,2020-03-12T11:30:02.460,1.133,1.090,0.930,-0.107
1584012602480,2020-03-12T11:30:02.480,1.153,1.372,1.143,-0.076
1584012602499,2020-03-12T11:30:02.499,1.172,1.037,1.014,-0.137
1584012602520,2020-03-12T11:30:02.520,1.193,0.579,0.633,-0.229
1584012602539,2020-03-12T11:30:02.539,1.212,0.534,0.595,-0.221
1584012602559,2020-03-12T11:30:02.559,1.232,0.953,0.762,-0.152
1584012602580,2020-03-12T11:30:02.580,1.253,1.059,0.991,-0.069
1584012602599,2020-03-12T11:30:02.599,1.272,1.029,0.686,-0.168
1584012602619,2020-03-12T11:30:02.619,1.292,1.143,0.122,-0.358
1584012602638,2020-03-12T11:30:02.638,1.311,1.082,-0.053,-0.412
1584012602659,2020-03-12T11:30:02.659,1.332,1.037,0.030,-0.313
1584012602678,2020-03-12T11:30:02.678,1.351,0.793,0.274,-0.290
1584012602698,2020-03-12T11:30:02.698,1.371,0.907,0.114,-0.373
1584012602719,2020-03-12T11:30:02.719,1.392,0.991,0.023,-0.282
1584012602738,2020-03-12T11:30:02.738,1.411,0.762,0.198,-0.213
1584012602758,2020-03-12T11:30:02.758,1.431,0.869,0.358,-0.145
1584012602778,2020-03-12T11:30:02.778,1.451,0.915,0.328,-0.122
1584012602798,2020-03-12T11:30:02.798,1.471,0.762,0.206,-0.290
1584012602817,2020-03-12T11:30:02.817,1.490,0.831,0.175,-0.290
1584012602838,2020-03-12T11:30:02.838,1.511,0.968,0.076,-0.191
1584012602858,2020-03-12T11:30:02.858,1.531,0.892,0.366,-0.107
1584012602877,2020-03-12T11:30:02.877,1.550,0.846,0.770,-0.015
1584012602898,2020-03-12T11:30:02.898,1.571,0.823,0.556,-0.008
1584012602917,2020-03-12T11:30:02.917,1.590,0.511,0.099,-0.175
1584012602937,2020-03-12T11:30:02.937,1.610,0.381,0.091,-0.229
1584012602956,2020-03-12T11:30:02.956,1.629,0.549,0.259,-0.168
1584012602977,2020-03-12T11:30:02.977,1.650,0.663,0.305,-0.191
1584012602997,2020-03-12T11:30:02.997,1.670,0.701,0.297,-0.198
1584012603016,2020-03-12T11:30:03.016,1.689,0.434,0.183,-0.175
1584012603037,2020-03-12T11:30:03.037,1.710,0.473,0.084,-0.160
1584012603056,2020-03-12T11:30:03.056,1.729,0.625,-0.145,-0.206
