epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1584013243495,2020-03-12T11:40:43.495,0.000,0.107,-3.803,-0.610
1584013243514,2020-03-12T11:40:43.514,0.019,-0.130,-3.194,-0.252
1584013243535,2020-03-12T11:40:43.535,0.040,-0.328,0.122,-0.038
1584013243554,2020-03-12T11:40:43.554,0.059,-0.213,0.107,0.274
1584013243575,2020-03-12T11:40:43.575,0.080,0.069,1.448,0.556
1584013243594,2020-03-12T11:40:43.594,0.099,0.335,2.210,0.694
1584013243614,2020-03-12T11:40:43.614,0.119,0.877,1.898,1.380
1584013243633,2020-03-12T11:40:43.633,0.138,0.823,-1.357,1.951
1584013243654,2020-03-12T11:40:43.654,0.159,0.480,0.854,0.777
1584013243674,2020-03-12T11:40:43.674,0.179,0.061,-1.014,1.723
1584013243693,2020-03-12T11:40:43.693,0.198,-0.206,-1.974,1.288
1584013243714,2020-03-12T11:40:43.714,0.219,0.114,1.471,0.366
1584013243733,2020-03-12T11:40:43.733,0.238,0.541,-0.282,0.633
1584013243753,2020-03-12T11:40:43.753,0.258,0.777,-1.021,-0.145
1584013243772,2020-03-12T11:40:43.772,0.277,0.869,-0.213,-0.907
1584013243793,2020-03-12T11:40:43.793,0.298,0.610,-1.563,-1.006
1584013243813,2020-03-12T11:40:43.813,0.318,0.282,-2.279,-1.372
1584013243832,2020-03-12T11:40:43.832,0.337,0.038,-2.210,-1.707
1584013243853,2020-03-12T11:40:43.853,0.358,-0.122,-1.860,-1.898
1584013243872,2020-03-12T11:40:43.872,0.377,-0.526,-1.471,-2.393
1584013243892,2020-03-12T11:40:43.892,0.397,-0.640,-1.799,-2.271
1584013243911,2020-03-12T11:40:43.911,0.416,-0.457,-2.203,-2.142
1584013243932,2020-03-12T11:40:43.932,0.437,-0.183,-1.303,-1.113
1584013243952,2020-03-12T11:40:43.952,0.457,0.030,-0.137,-0.442
1584013243972,2020-03-12T11:40:43.972,0.477,0.221,1.418,-0.183
1584013243992,2020-03-12T11:40:43.992,0.497,0.320,2.127,0.160
1584013244011,2020-03-12T11:40:44.011,0.516,0.678,1.166,0.495
1584013244032,2020-03-12T11:40:44.032,0.537,1.067,0.907,0.473
1584013244051,2020-03-12T11:40:44.051,0.556,1.220,1.128,0.366
1584013244071,2020-03-12T11:40:44.071,0.576,1.349,0.747,0.396
