epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1584013812510,2020-03-12T11:50:12.510,0.000,-0.398,-0.065,0.863
1584013812529,2020-03-12T11:50:12.529,0.019,-0.404,-0.066,0.876
1584013812550,2020-03-12T11:50:12.550,0.040,-0.398,-0.064,0.874
1584013812570,2020-03-12T11:50:12.570,0.060,-0.398,-0.064,0.869
1584013812589,2020-03-12T11:50:12.589,0.079,-0.403,-0.065,0.869
1584013812610,2020-03-12T11:50:12.610,0.100,-0.403,-0.066,0.873
1584013812629,2020-03-12T11:50:12.629,0.119,-0.401,-0.064,0.871
1584013812649,2020-03-12T11:50:12.649,0.139,-0.401,-0.066,0.869
1584013812668,2020-03-12T11:50:12.668,0.158,-0.400,-0.064,0.870
1584013812689,2020-03-12T11:50:12.689,0.179,-0.396,-0.064,0.873
1584013812709,2020-03-12T11:50:12.709,0.199,-0.401,-0.065,0.871
1584013812728,2020-03-12T11:50:12.728,0.218,-0.405,-0.063,0.869
1584013812749,2020-03-12T11:50:12.749,0.239,-0.399,-0.065,0.872
1584013812768,2020-03-12T11:50:12.768,0.258,-0.392,-0.065,0.876
1584013812788,2020-03-12T11:50:12.788,0.278,-0.394,-0.065,0.875
1584013812807,2020-03-12T11:50:12.807,0.297,-0.400,-0.066,0.871
1584013812828,2020-03-12T11:50:12.828,0.318,-0.400,-0.065,0.870
1584013812848,2020-03-12T11:50:12.848,0.338,-0.393,-0.066,0.874
1584013812867,2020-03-12T11:50:12.867,0.357,-0.391,-0.066,0.875
1584013812888,2020-03-12T11:50:12.888,0.378,-0.393,-0.065,0.872
1584013812907,2020-03-12T11:50:12.907,0.397,-0.392,-0.068,0.876
1584013812927,2020-03-12T11:50:12.927,0.417,-0.393,-0.068,0.874
1584013812946,2020-03-12T11:50:12.946,0.436,-0.392,-0.068,0.874
1584013812967,2020-03-12T11:50:12.967,0.457,-0.398,-0.068,0.870
1584013812988,2020-03-12T11:50:12.988,0.478,-0.399,-0.068,0.873
1584013813007,2020-03-12T11:50:13.007,0.497,-0.395,-0.067,0.876
1584013813027,2020-03-12T11:50:13.027,0.517,-0.400,-0.066,0.875
1584013813046,2020-03-12T11:50:13.046,0.536,-0.400,-0.066,0.869
1584013813067,2020-03-12T11:50:13.067,0.557,-0.399,-0.067,0.871
1584013813086,2020-03-12T11:50:13.086,0.576,-0.398,-0.066,0.876
1584013813106,2020-03-12T11:50:13.106,0.596,-0.402,-0.065,0.873
1584013813125,2020-03-12T11:50:13.125,0.615,-0.406,-0.065,0.867
1584013813146,2020-03-12T11:50:13.146,0.636,-0.404,-0.065,0.869
1584013813166,2020-03-12T11:50:13.166,0.656,-0.396,-0.067,0.875
1584013813185,2020-03-12T11:50:13.185,0.675,-0.393,-0.066,0.875
1584013813206,2020-03-12T11:50:13.206,0.696,-0.398,-0.065,0.869
1584013813225,2020-03-12T11:50:13.225,0.715,-0.404,-0.065,0.870
1584013813245,2020-03-12T11:50:13.245,0.735,-0.399,-0.065,0.874
1584013813264,2020-03-12T11:50:13.264,0.754,-0.400,-0.066,0.872
1584013813285,2020-03-12T11:50:13.285,0.775,-0.402,-0.065,0.868
1584013813305,2020-03-12T11:50:13.305,0.795,-0.400,-0.067,0.871
1584013813324,2020-03-12T11:50:13.324,0.814,-0.395,-0.065,0.873
1584013813345,2020-03-12T11:50:13.345,0.835,-0.397,-0.065,0.873
1584013813364,2020-03-12T11:50:13.364,0.854,-0.401,-0.066,0.871
1584013813384,2020-03-12T11:50:13.384,0.874,-0.399,-0.065,0.873
1584013813404,2020-03-12T11:50:13.404,0.894,-0.398,-0.065,0.873
1584013813424,2020-03-12T11:50:13.424,0.914,-0.402,-0.064,0.869
1584013813445,2020-03-12T11:50:13.445,0.935,-0.401,-0.064,0.873
1584013813464,2020-03-12T11:50:13.464,0.954,-0.398,-0.065,0.876
1584013813484,2020-03-12T11:50:13.484,0.974,-0.399,-0.064,0.872
1584013813503,2020-03-12T11:50:13.503,0.993,-0.399,-0.066,0.870
1584013813524,2020-03-12T11:50:13.524,1.014,-0.399,-0.063,0.874
1584013813543,2020-03-12T11:50:13.543,1.033,-0.397,-0.063,0.874
1584013813563,2020-03-12T11:50:13.563,1.053,-0.400,-0.065,0.871
1584013813584,2020-03-12T11:50:13.584,1.074,-0.399,-0.063,0.870
1584013813603,2020-03-12T11:50:13.603,1.093,-0.397,-0.066,0.873
1584013813623,2020-03-12T11:50:13.623,1.113,-0.394,-0.067,0.876
1584013813642,2020-03-12T11:50:13.642,1.132,-0.397,-0.065,0.871
1584013813663,2020-03-12T11:50:13.663,1.153,-0.404,-0.063,0.871
1584013813682,2020-03-12T11:50:13.682,1.172,-0.400,-0.064,0.875
1584013813702,2020-03-12T11:50:13.702,1.192,-0.396,-0.066,0.874
1584013813723,2020-03-12T11:50:13.723,1.213,-0.398,-0.065,0.872
1584013813742,2020-03-12T11:50:13.742,1.232,-0.401,-0.065,0.872
1584013813762,2020-03-12T11:50:13.762,1.252,-0.397,-0.064,0.873
1584013813781,2020-03-12T11:50:13.781,1.271,-0.397,-0.063,0.872
1584013813802,2020-03-12T11:50:13.802,1.292,-0.398,-0.064,0.870
1584013813821,2020-03-12T11:50:13.821,1.311,-0.396,-0.065,0.873
1584013813842,2020-03-12T11:50:13.842,1.332,-0.394,-0.063,0.876
1584013813861,2020-03-12T11:50:13.861,1.351,-0.395,-0.063,0.872
1584013813881,2020-03-12T11:50:13.881,1.371,-0.401,-0.064,0.871
1584013813902,2020-03-12T11:50:13.902,1.392,-0.401,-0.064,0.873
1584013813921,2020-03-12T11:50:13.921,1.411,-0.399,-0.065,0.873
1584013813941,2020-03-12T11:50:13.941,1.431,-0.398,-0.065,0.876
1584013813960,2020-03-12T11:50:13.960,1.450,-0.395,-0.064,0.874
1584013813981,2020-03-12T11:50:13.981,1.471,-0.396,-0.063,0.873
1584013814000,2020-03-12T11:50:14.000,1.490,-0.399,-0.063,0.871
1584013814020,2020-03-12T11:50:14.020,1.510,-0.399,-0.063,0.871
1584013814041,2020-03-12T11:50:14.041,1.531,-0.398,-0.064,0.873
1584013814060,2020-03-12T11:50:14.060,1.550,-0.401,-0.063,0.872
1584013814080,2020-03-12T11:50:14.080,1.570,-0.405,-0.063,0.871
1584013814099,2020-03-12T11:50:14.099,1.589,-0.406,-0.062,0.870
1584013814120,2020-03-12T11:50:14.120,1.610,-0.400,-0.062,0.873
1584013814139,2020-03-12T11:50:14.139,1.629,-0.398,-0.063,0.875
1584013814159,2020-03-12T11:50:14.159,1.649,-0.402,-0.062,0.871
1584013814180,2020-03-12T11:50:14.180,1.670,-0.405,-0.061,0.869
1584013814199,2020-03-12T11:50:14.199,1.689,-0.402,-0.063,0.871
1584013814219,2020-03-12T11:50:14.219,1.709,-0.399,-0.062,0.875
1584013814238,2020-03-12T11:50:14.238,1.728,-0.402,-0.062,0.872
1584013814259,2020-03-12T11:50:14.259,1.749,-0.404,-0.062,0.870
1584013814278,2020-03-12T11:50:14.278,1.768,-0.402,-0.061,0.871
1584013814299,2020-03-12T11:50:14.299,1.789,-0.397,-0.061,0.872
1584013814319,2020-03-12T11:50:14.319,1.809,-0.399,-0.062,0.873
1584013814338,2020-03-12T11:50:14.338,1.828,-0.405,-0.060,0.871
1584013814359,2020-03-12T11:50:14.359,1.849,-0.405,-0.061,0.871
1584013814378,2020-03-12T11:50:14.378,1.868,-0.400,-0.060,0.873
