epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1584097967986,2020-03-13T11:12:47.986,0.000,-0.647,-0.155,0.687
1584097968006,2020-03-13T11:12:48.006,0.020,-0.660,-0.160,0.693
1584097968027,2020-03-13T11:12:48.027,0.041,-0.654,-0.161,0.691
1584097968046,2020-03-13T11:12:48.046,0.060,-0.647,-0.159,0.691
1584097968066,2020-03-13T11:12:48.066,0.080,-0.648,-0.158,0.696
1584097968085,2020-03-13T11:12:48.085,0.099,-0.648,-0.156,0.698
1584097968106,2020-03-13T11:12:48.106,0.120,-0.645,-0.155,0.696
1584097968125,2020-03-13T11:12:48.125,0.139,-0.644,-0.157,0.692
1584097968145,2020-03-13T11:12:48.145,0.159,-0.660,-0.165,0.687
1584097968166,2020-03-13T11:12:48.166,0.180,-0.671,-0.166,0.685
1584097968185,2020-03-13T11:12:48.185,0.199,-0.661,-0.160,0.685
1584097968205,2020-03-13T11:12:48.205,0.219,-0.651,-0.158,0.692
1584097968224,2020-03-13T11:12:48.224,0.238,-0.642,-0.159,0.699
1584097968245,2020-03-13T11:12:48.245,0.259,-0.632,-0.160,0.705
1584097968264,2020-03-13T11:12:48.264,0.278,-0.633,-0.159,0.700
1584097968284,2020-03-13T11:12:48.284,0.298,-0.642,-0.161,0.696
1584097968305,2020-03-13T11:12:48.305,0.319,-0.645,-0.160,0.699
1584097968324,2020-03-13T11:12:48.324,0.338,-0.635,-0.158,0.697
1584097968345,2020-03-13T11:12:48.345,0.359,-0.634,-0.161,0.698
1584097968364,2020-03-13T11:12:48.364,0.378,-0.642,-0.161,0.704
1584097968384,2020-03-13T11:12:48.384,0.398,-0.640,-0.161,0.700
1584097968403,2020-03-13T11:12:48.403,0.417,-0.641,-0.161,0.691
1584097968424,2020-03-13T11:12:48.424,0.438,-0.649,-0.163,0.692
1584097968444,2020-03-13T11:12:48.444,0.458,-0.650,-0.160,0.697
1584097968463,2020-03-13T11:12:48.463,0.477,-0.644,-0.157,0.697
1584097968484,2020-03-13T11:12:48.484,0.498,-0.649,-0.158,0.692
1584097968503,2020-03-13T11:12:48.503,0.517,-0.662,-0.159,0.691
1584097968523,2020-03-13T11:12:48.523,0.537,-0.663,-0.160,0.691
1584097968542,2020-03-13T11:12:48.542,0.556,-0.660,-0.161,0.688
1584097968563,2020-03-13T11:12:48.563,0.577,-0.657,-0.162,0.689
1584097968583,2020-03-13T11:12:48.583,0.597,-0.652,-0.160,0.693
1584097968602,2020-03-13T11:12:48.602,0.616,-0.640,-0.159,0.700
1584097968623,2020-03-13T11:12:48.623,0.637,-0.637,-0.157,0.702
1584097968642,2020-03-13T11:12:48.642,0.656,-0.641,-0.158,0.698
1584097968662,2020-03-13T11:12:48.662,0.676,-0.645,-0.161,0.696
1584097968681,2020-03-13T11:12:48.681,0.695,-0.641,-0.161,0.702
1584097968702,2020-03-13T11:12:48.702,0.716,-0.637,-0.158,0.700
1584097968722,2020-03-13T11:12:48.722,0.736,-0.640,-0.159,0.698
1584097968742,2020-03-13T11:12:48.742,0.756,-0.647,-0.160,0.698
1584097968762,2020-03-13T11:12:48.762,0.776,-0.646,-0.158,0.695
1584097968781,2020-03-13T11:12:48.781,0.795,-0.646,-0.160,0.694
1584097968802,2020-03-13T11:12:48.802,0.816,-0.644,-0.161,0.699
1584097968821,2020-03-13T11:12:48.821,0.835,-0.640,-0.159,0.701
1584097968841,2020-03-13T11:12:48.841,0.855,-0.641,-0.158,0.699
1584097968860,2020-03-13T11:12:48.860,0.874,-0.648,-0.159,0.697
1584097968881,2020-03-13T11:12:48.881,0.895,-0.647,-0.162,0.697
1584097968901,2020-03-13T11:12:48.901,0.915,-0.647,-0.161,0.695
1584097968920,2020-03-13T11:12:48.920,0.934,-0.645,-0.159,0.695
1584097968941,2020-03-13T11:12:48.941,0.955,-0.643,-0.161,0.698
1584097968960,2020-03-13T11:12:48.960,0.974,-0.641,-0.161,0.697
1584097968980,2020-03-13T11:12:48.980,0.994,-0.646,-0.162,0.696
1584097968999,2020-03-13T11:12:48.999,1.013,-0.643,-0.161,0.694
1584097969020,2020-03-13T11:12:49.020,1.034,-0.643,-0.159,0.697
1584097969040,2020-03-13T11:12:49.040,1.054,-0.643,-0.157,0.704
1584097969059,2020-03-13T11:12:49.059,1.073,-0.641,-0.160,0.700
1584097969080,2020-03-13T11:12:49.080,1.094,-0.645,-0.160,0.693
1584097969099,2020-03-13T11:12:49.099,1.113,-0.651,-0.164,0.691
1584097969119,2020-03-13T11:12:49.119,1.133,-0.651,-0.165,0.694
1584097969138,2020-03-13T11:12:49.138,1.152,-0.651,-0.163,0.693
1584097969159,2020-03-13T11:12:49.159,1.173,-0.655,-0.165,0.689
1584097969180,2020-03-13T11:12:49.180,1.194,-0.659,-0.170,0.686
1584097969199,2020-03-13T11:12:49.199,1.213,-0.654,-0.171,0.687
1584097969219,2020-03-13T11:12:49.219,1.233,-0.643,-0.171,0.690
1584097969238,2020-03-13T11:12:49.238,1.252,-0.645,-0.170,0.691
1584097969259,2020-03-13T11:12:49.259,1.273,-0.654,-0.166,0.689
1584097969278,2020-03-13T11:12:49.278,1.292,-0.656,-0.166,0.690
1584097969298,2020-03-13T11:12:49.298,1.312,-0.646,-0.165,0.692
1584097969319,2020-03-13T11:12:49.319,1.333,-0.637,-0.169,0.694
1584097969338,2020-03-13T11:12:49.338,1.352,-0.642,-0.169,0.693
1584097969358,2020-03-13T11:12:49.358,1.372,-0.653,-0.165,0.690
1584097969377,2020-03-13T11:12:49.377,1.391,-0.656,-0.162,0.689
1584097969398,2020-03-13T11:12:49.398,1.412,-0.654,-0.164,0.691
1584097969417,2020-03-13T11:12:49.417,1.431,-0.654,-0.167,0.688
1584097969437,2020-03-13T11:12:49.437,1.451,-0.653,-0.168,0.688
1584097969458,2020-03-13T11:12:49.458,1.472,-0.653,-0.165,0.689
1584097969477,2020-03-13T11:12:49.477,1.491,-0.658,-0.163,0.688
1584097969497,2020-03-13T11:12:49.497,1.511,-0.653,-0.164,0.690
1584097969516,2020-03-13T11:12:49.516,1.530,-0.646,-0.166,0.694
1584097969537,2020-03-13T11:12:49.537,1.551,-0.647,-0.167,0.689
1584097969556,2020-03-13T11:12:49.556,1.570,-0.650,-0.167,0.688
1584097969576,2020-03-13T11:12:49.576,1.590,-0.654,-0.167,0.690
1584097969597,2020-03-13T11:12:49.597,1.611,-0.654,-0.164,0.688
1584097969616,2020-03-13T11:12:49.616,1.630,-0.654,-0.164,0.688
1584097969637,2020-03-13T11:12:49.637,1.651,-0.650,-0.166,0.690
1584097969656,2020-03-13T11:12:49.656,1.670,-0.647,-0.169,0.693
1584097969676,2020-03-13T11:12:49.676,1.690,-0.653,-0.166,0.688
1584097969695,2020-03-13T11:12:49.695,1.709,-0.655,-0.164,0.688
1584097969716,2020-03-13T11:12:49.716,1.730,-0.654,-0.165,0.690
1584097969735,2020-03-13T11:12:49.735,1.749,-0.653,-0.165,0.691
