epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1584097967867,2020-03-13T11:12:47.867,0.000,0.023,2.264,0.145
1584097967888,2020-03-13T11:12:47.888,0.021,0.648,2.302,0.221
1584097967907,2020-03-13T11:12:47.907,0.040,0.373,1.883,0.152
1584097967927,2020-03-13T11:12:47.927,0.060,-0.069,1.524,0.160
1584097967946,2020-03-13T11:12:47.946,0.079,-0.008,1.715,0.366
1584097967967,2020-03-13T11:12:47.967,0.100,0.206,2.127,0.663
1584097967986,2020-03-13T11:12:47.986,0.119,0.038,2.233,0.747
1584097968006,2020-03-13T11:12:48.006,0.139,-0.145,1.608,0.366
1584097968027,2020-03-13T11:12:48.027,0.160,0.191,0.473,0.206
1584097968046,2020-03-13T11:12:48.046,0.179,0.556,-0.274,0.229
1584097968066,2020-03-13T11:12:48.066,0.199,0.732,-0.198,0.076
1584097968085,2020-03-13T11:12:48.085,0.218,0.252,0.099,-0.015
1584097968106,2020-03-13T11:12:48.106,0.239,-0.816,0.427,-0.069
1584097968125,2020-03-13T11:12:48.125,0.258,-1.410,1.166,-0.206
1584097968145,2020-03-13T11:12:48.145,0.278,-0.854,1.349,-0.427
1584097968166,2020-03-13T11:12:48.166,0.299,0.648,0.008,-0.770
1584097968185,2020-03-13T11:12:48.185,0.318,2.172,-2.180,-1.227
1584097968205,2020-03-13T11:12:48.205,0.338,2.584,-3.628,-1.631
1584097968224,2020-03-13T11:12:48.224,0.357,2.020,-3.963,-1.776
1584097968245,2020-03-13T11:12:48.245,0.378,1.448,-3.125,-1.738
1584097968264,2020-03-13T11:12:48.264,0.397,1.105,-1.006,-1.433
1584097968284,2020-03-13T11:12:48.284,0.417,1.166,0.061,-1.082
1584097968305,2020-03-13T11:12:48.305,0.438,1.372,-0.351,-0.602
1584097968324,2020-03-13T11:12:48.324,0.457,1.136,-0.434,-0.282
1584097968345,2020-03-13T11:12:48.345,0.478,0.267,0.396,-0.114
1584097968364,2020-03-13T11:12:48.364,0.497,-0.046,1.098,0.229
1584097968384,2020-03-13T11:12:48.384,0.517,0.015,1.806,0.617
1584097968403,2020-03-13T11:12:48.403,0.536,0.175,2.538,0.915
1584097968424,2020-03-13T11:12:48.424,0.557,0.709,2.409,1.090
1584097968444,2020-03-13T11:12:48.444,0.577,0.945,1.677,1.296
1584097968463,2020-03-13T11:12:48.463,0.596,0.678,1.700,1.235
1584097968484,2020-03-13T11:12:48.484,0.617,0.160,2.271,0.968
1584097968503,2020-03-13T11:12:48.503,0.636,0.008,1.928,0.587
1584097968523,2020-03-13T11:12:48.523,0.656,0.259,0.724,-0.084
1584097968542,2020-03-13T11:12:48.542,0.675,0.800,-0.373,-0.892
