epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1584096713127,2020-03-13T10:51:53.127,0.000,0.922,1.608,-0.114
1584096713146,2020-03-13T10:51:53.146,0.019,0.724,1.890,0.008
1584096713166,2020-03-13T10:51:53.166,0.039,0.678,1.479,0.015
1584096713185,2020-03-13T10:51:53.185,0.058,0.899,0.686,0.046
1584096713206,2020-03-13T10:51:53.206,0.079,0.998,0.091,0.069
1584096713225,2020-03-13T10:51:53.225,0.098,1.189,0.351,0.213
1584096713245,2020-03-13T10:51:53.245,0.118,1.090,1.829,0.412
1584096713266,2020-03-13T10:51:53.266,0.139,0.770,2.675,0.450
1584096713285,2020-03-13T10:51:53.285,0.158,0.671,1.875,0.465
1584096713305,2020-03-13T10:51:53.305,0.178,0.633,-0.069,0.328
1584096713325,2020-03-13T10:51:53.325,0.198,0.671,-1.456,0.000
1584096713345,2020-03-13T10:51:53.345,0.218,0.252,-2.104,-0.114
1584096713364,2020-03-13T10:51:53.364,0.237,-0.084,-2.713,-0.259
1584096713385,2020-03-13T10:51:53.385,0.258,0.008,-2.340,-0.404
1584096713404,2020-03-13T10:51:53.404,0.277,-0.114,-1.220,-0.366
1584096713424,2020-03-13T10:51:53.424,0.297,-0.069,-0.610,-0.282
1584096713445,2020-03-13T10:51:53.445,0.318,-0.114,-0.396,-0.076
1584096713464,2020-03-13T10:51:53.464,0.337,-0.343,-0.572,0.038
1584096713484,2020-03-13T10:51:53.484,0.357,-0.518,-1.044,-0.015
1584096713503,2020-03-13T10:51:53.503,0.376,-0.442,-1.486,-0.069
1584096713524,2020-03-13T10:51:53.524,0.397,-0.198,-2.050,-0.130
1584096713543,2020-03-13T10:51:53.543,0.416,-0.076,-2.050,-0.145
1584096713563,2020-03-13T10:51:53.563,0.436,0.221,-1.258,-0.122
1584096713584,2020-03-13T10:51:53.584,0.457,0.541,-1.082,-0.175
1584096713603,2020-03-13T10:51:53.603,0.476,0.564,-1.212,-0.267
1584096713623,2020-03-13T10:51:53.623,0.496,0.351,-0.892,-0.236
1584096713642,2020-03-13T10:51:53.642,0.515,0.495,-1.204,-0.320
1584096713663,2020-03-13T10:51:53.663,0.536,0.678,-1.997,-0.396
1584096713682,2020-03-13T10:51:53.682,0.555,0.640,-1.502,-0.259
1584096713702,2020-03-13T10:51:53.702,0.575,0.724,0.091,-0.183
1584096713723,2020-03-13T10:51:53.723,0.596,0.869,1.120,-0.137
1584096713742,2020-03-13T10:51:53.742,0.615,0.861,0.503,-0.191
1584096713762,2020-03-13T10:51:53.762,0.635,0.770,-0.213,-0.328
1584096713782,2020-03-13T10:51:53.782,0.655,0.739,-0.076,-0.381
1584096713802,2020-03-13T10:51:53.802,0.675,0.793,-0.137,-0.373
1584096713821,2020-03-13T10:51:53.821,0.694,0.625,-0.419,-0.389
1584096713842,2020-03-13T10:51:53.842,0.715,0.518,-0.168,-0.373
1584096713861,2020-03-13T10:51:53.861,0.734,0.633,0.511,-0.389
1584096713881,2020-03-13T10:51:53.881,0.754,0.701,0.335,-0.358
1584096713902,2020-03-13T10:51:53.902,0.775,0.732,-0.549,-0.419
1584096713921,2020-03-13T10:51:53.921,0.794,0.739,-0.206,-0.419
1584096713941,2020-03-13T10:51:53.941,0.814,0.861,1.037,-0.320
1584096713960,2020-03-13T10:51:53.960,0.833,0.732,1.738,-0.107
1584096713981,2020-03-13T10:51:53.981,0.854,0.663,1.471,-0.114
1584096714000,2020-03-13T10:51:54.000,0.873,0.762,0.899,-0.175
1584096714020,2020-03-13T10:51:54.020,0.893,0.915,1.166,-0.053
1584096714041,2020-03-13T10:51:54.041,0.914,0.976,1.890,-0.008
1584096714060,2020-03-13T10:51:54.060,0.933,1.029,1.905,-0.046
1584096714080,2020-03-13T10:51:54.080,0.953,0.785,1.463,-0.107
1584096714099,2020-03-13T10:51:54.099,0.972,0.770,1.075,-0.069
1584096714120,2020-03-13T10:51:54.120,0.993,0.602,0.968,-0.130
1584096714139,2020-03-13T10:51:54.139,1.012,0.206,0.762,-0.183
1584096714159,2020-03-13T10:51:54.159,1.032,-0.107,0.252,-0.206
1584096714180,2020-03-13T10:51:54.180,1.053,0.221,-0.137,-0.328
1584096714199,2020-03-13T10:51:54.199,1.072,0.846,-0.206,-0.419
1584096714220,2020-03-13T10:51:54.220,1.093,1.380,0.015,-0.259
1584096714239,2020-03-13T10:51:54.239,1.112,1.608,0.655,-0.053
1584096714259,2020-03-13T10:51:54.259,1.132,1.601,2.325,0.038
1584096714278,2020-03-13T10:51:54.278,1.151,1.639,3.994,0.053
1584096714299,2020-03-13T10:51:54.299,1.172,1.745,4.360,-0.061
1584096714318,2020-03-13T10:51:54.318,1.191,2.050,2.797,0.130
1584096714338,2020-03-13T10:51:54.338,1.211,2.020,1.334,0.320
1584096714359,2020-03-13T10:51:54.359,1.232,1.364,1.768,0.442
1584096714378,2020-03-13T10:51:54.378,1.251,0.587,3.872,0.511
1584096714398,2020-03-13T10:51:54.398,1.271,0.480,5.175,0.633
1584096714417,2020-03-13T10:51:54.417,1.290,0.823,5.053,0.716
1584096714438,2020-03-13T10:51:54.438,1.311,0.816,3.887,0.244
1584096714457,2020-03-13T10:51:54.457,1.330,0.457,2.325,-0.191
1584096714477,2020-03-13T10:51:54.477,1.350,-0.008,-3.529,-0.648
1584096714498,2020-03-13T10:51:54.498,1.371,-0.328,-8.072,-1.021
1584096714517,2020-03-13T10:51:54.517,1.390,-0.381,-7.248,-1.098
1584096714537,2020-03-13T10:51:54.537,1.410,-0.206,-5.274,-1.143
1584096714556,2020-03-13T10:51:54.556,1.429,-0.290,-5.602,-1.174
1584096714577,2020-03-13T10:51:54.577,1.450,-0.274,-6.730,-1.227
1584096714596,2020-03-13T10:51:54.596,1.469,0.328,-6.700,-1.280
1584096714616,2020-03-13T10:51:54.616,1.489,0.938,-3.826,-0.930
1584096714637,2020-03-13T10:51:54.637,1.510,1.136,0.008,-0.526
1584096714656,2020-03-13T10:51:54.656,1.529,1.006,0.732,-0.244
1584096714677,2020-03-13T10:51:54.677,1.550,0.922,-0.457,-0.137
1584096714696,2020-03-13T10:51:54.696,1.569,0.869,-0.770,-0.084
1584096714716,2020-03-13T10:51:54.716,1.589,0.473,-1.029,-0.290
1584096714735,2020-03-13T10:51:54.735,1.608,0.160,-2.599,-0.526
1584096714756,2020-03-13T10:51:54.756,1.629,0.114,-4.825,-0.473
1584096714775,2020-03-13T10:51:54.775,1.648,-0.526,-4.207,-0.274
1584096714795,2020-03-13T10:51:54.795,1.668,-1.639,-3.095,-0.236
1584096714816,2020-03-13T10:51:54.816,1.689,-2.111,-4.002,-0.030
1584096714835,2020-03-13T10:51:54.835,1.708,-2.500,-5.152,0.427
1584096714855,2020-03-13T10:51:54.855,1.728,-2.515,-7.561,0.252
1584096714874,2020-03-13T10:51:54.874,1.747,-1.852,-9.230,-0.267
1584096714895,2020-03-13T10:51:54.895,1.768,-0.579,-6.288,-0.625
1584096714914,2020-03-13T10:51:54.914,1.787,1.608,-0.541,-0.305
1584096714934,2020-03-13T10:51:54.934,1.807,4.413,4.040,0.160
1584096714955,2020-03-13T10:51:54.955,1.828,4.893,9.009,0.800
1584096714974,2020-03-13T10:51:54.974,1.847,2.500,12.508,1.265
1584096714994,2020-03-13T10:51:54.994,1.867,-1.197,9.619,0.785
1584096715013,2020-03-13T10:51:55.013,1.886,-3.300,-0.236,-0.518
