epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1584097634990,2020-03-13T11:07:14.990,0.000,-0.267,-0.070,0.912
1584097635010,2020-03-13T11:07:15.010,0.020,-0.265,-0.066,0.921
1584097635029,2020-03-13T11:07:15.029,0.039,-0.273,-0.070,0.920
1584097635050,2020-03-13T11:07:15.050,0.060,-0.284,-0.066,0.912
1584097635069,2020-03-13T11:07:15.069,0.079,-0.291,-0.067,0.910
1584097635089,2020-03-13T11:07:15.089,0.099,-0.276,-0.067,0.919
1584097635108,2020-03-13T11:07:15.108,0.118,-0.258,-0.068,0.924
1584097635129,2020-03-13T11:07:15.129,0.139,-0.263,-0.068,0.920
1584097635148,2020-03-13T11:07:15.148,0.158,-0.274,-0.065,0.914
1584097635168,2020-03-13T11:07:15.168,0.178,-0.277,-0.065,0.916
1584097635189,2020-03-13T11:07:15.189,0.199,-0.272,-0.066,0.917
1584097635208,2020-03-13T11:07:15.208,0.218,-0.269,-0.068,0.916
1584097635228,2020-03-13T11:07:15.228,0.238,-0.270,-0.068,0.917
1584097635247,2020-03-13T11:07:15.247,0.257,-0.268,-0.069,0.922
1584097635268,2020-03-13T11:07:15.268,0.278,-0.276,-0.067,0.919
1584097635287,2020-03-13T11:07:15.287,0.297,-0.276,-0.066,0.916
1584097635308,2020-03-13T11:07:15.308,0.318,-0.265,-0.066,0.917
1584097635328,2020-03-13T11:07:15.328,0.338,-0.263,-0.067,0.920
1584097635347,2020-03-13T11:07:15.347,0.357,-0.272,-0.068,0.919
1584097635368,2020-03-13T11:07:15.368,0.378,-0.275,-0.068,0.914
1584097635387,2020-03-13T11:07:15.387,0.397,-0.274,-0.068,0.915
1584097635407,2020-03-13T11:07:15.407,0.417,-0.268,-0.068,0.920
1584097635426,2020-03-13T11:07:15.426,0.436,-0.264,-0.068,0.922
1584097635447,2020-03-13T11:07:15.447,0.457,-0.267,-0.066,0.921
1584097635467,2020-03-13T11:07:15.467,0.477,-0.269,-0.067,0.919
1584097635486,2020-03-13T11:07:15.486,0.496,-0.273,-0.066,0.917
1584097635507,2020-03-13T11:07:15.507,0.517,-0.273,-0.066,0.917
1584097635526,2020-03-13T11:07:15.526,0.536,-0.265,-0.067,0.920
1584097635546,2020-03-13T11:07:15.546,0.556,-0.259,-0.068,0.921
1584097635565,2020-03-13T11:07:15.565,0.575,-0.262,-0.068,0.922
1584097635586,2020-03-13T11:07:15.586,0.596,-0.272,-0.066,0.921
1584097635606,2020-03-13T11:07:15.606,0.616,-0.270,-0.065,0.917
1584097635625,2020-03-13T11:07:15.625,0.635,-0.264,-0.066,0.921
1584097635646,2020-03-13T11:07:15.646,0.656,-0.267,-0.067,0.919
1584097635665,2020-03-13T11:07:15.665,0.675,-0.270,-0.066,0.919
1584097635685,2020-03-13T11:07:15.685,0.695,-0.269,-0.065,0.918
1584097635704,2020-03-13T11:07:15.704,0.714,-0.269,-0.065,0.918
1584097635725,2020-03-13T11:07:15.725,0.735,-0.275,-0.065,0.918
1584097635745,2020-03-13T11:07:15.745,0.755,-0.277,-0.065,0.918
1584097635765,2020-03-13T11:07:15.765,0.775,-0.270,-0.066,0.919
1584097635785,2020-03-13T11:07:15.785,0.795,-0.266,-0.066,0.919
1584097635804,2020-03-13T11:07:15.804,0.814,-0.273,-0.065,0.919
1584097635825,2020-03-13T11:07:15.825,0.835,-0.276,-0.068,0.916
1584097635844,2020-03-13T11:07:15.844,0.854,-0.272,-0.068,0.917
1584097635864,2020-03-13T11:07:15.864,0.874,-0.264,-0.062,0.922
1584097635885,2020-03-13T11:07:15.885,0.895,-0.267,-0.062,0.919
1584097635904,2020-03-13T11:07:15.904,0.914,-0.270,-0.064,0.920
1584097635924,2020-03-13T11:07:15.924,0.934,-0.270,-0.066,0.921
1584097635943,2020-03-13T11:07:15.943,0.953,-0.271,-0.064,0.918
1584097635964,2020-03-13T11:07:15.964,0.974,-0.268,-0.065,0.921
1584097635983,2020-03-13T11:07:15.983,0.993,-0.269,-0.067,0.919
1584097636003,2020-03-13T11:07:16.003,1.013,-0.271,-0.065,0.917
1584097636022,2020-03-13T11:07:16.022,1.032,-0.271,-0.065,0.918
1584097636043,2020-03-13T11:07:16.043,1.053,-0.264,-0.065,0.922
1584097636063,2020-03-13T11:07:16.063,1.073,-0.265,-0.065,0.922
1584097636082,2020-03-13T11:07:16.082,1.092,-0.273,-0.064,0.917
1584097636103,2020-03-13T11:07:16.103,1.113,-0.275,-0.065,0.919
1584097636122,2020-03-13T11:07:16.122,1.132,-0.269,-0.064,0.920
1584097636142,2020-03-13T11:07:16.142,1.152,-0.268,-0.064,0.917
1584097636162,2020-03-13T11:07:16.162,1.172,-0.274,-0.066,0.918
1584097636182,2020-03-13T11:07:16.182,1.192,-0.270,-0.067,0.921
1584097636203,2020-03-13T11:07:16.203,1.213,-0.267,-0.066,0.922
1584097636222,2020-03-13T11:07:16.222,1.232,-0.270,-0.065,0.919
1584097636242,2020-03-13T11:07:16.242,1.252,-0.272,-0.065,0.920
1584097636261,2020-03-13T11:07:16.261,1.271,-0.270,-0.064,0.920
1584097636282,2020-03-13T11:07:16.282,1.292,-0.272,-0.064,0.918
1584097636301,2020-03-13T11:07:16.301,1.311,-0.272,-0.067,0.919
1584097636321,2020-03-13T11:07:16.321,1.331,-0.269,-0.066,0.919
1584097636342,2020-03-13T11:07:16.342,1.352,-0.270,-0.065,0.921
1584097636361,2020-03-13T11:07:16.361,1.371,-0.272,-0.066,0.918
1584097636381,2020-03-13T11:07:16.381,1.391,-0.271,-0.066,0.916
1584097636400,2020-03-13T11:07:16.400,1.410,-0.273,-0.064,0.920
1584097636421,2020-03-13T11:07:16.421,1.431,-0.271,-0.065,0.920
1584097636440,2020-03-13T11:07:16.440,1.450,-0.269,-0.063,0.920
1584097636460,2020-03-13T11:07:16.460,1.470,-0.269,-0.063,0.915
1584097636481,2020-03-13T11:07:16.481,1.491,-0.271,-0.064,0.919
1584097636500,2020-03-13T11:07:16.500,1.510,-0.270,-0.064,0.921
1584097636520,2020-03-13T11:07:16.520,1.530,-0.267,-0.065,0.921
1584097636539,2020-03-13T11:07:16.539,1.549,-0.269,-0.064,0.920
1584097636560,2020-03-13T11:07:16.560,1.570,-0.272,-0.065,0.919
1584097636579,2020-03-13T11:07:16.579,1.589,-0.271,-0.065,0.920
1584097636599,2020-03-13T11:07:16.599,1.609,-0.270,-0.065,0.918
1584097636620,2020-03-13T11:07:16.620,1.630,-0.270,-0.066,0.919
1584097636639,2020-03-13T11:07:16.639,1.649,-0.268,-0.064,0.922
1584097636660,2020-03-13T11:07:16.660,1.670,-0.268,-0.065,0.920
1584097636679,2020-03-13T11:07:16.679,1.689,-0.274,-0.066,0.918
1584097636699,2020-03-13T11:07:16.699,1.709,-0.275,-0.066,0.919
1584097636718,2020-03-13T11:07:16.718,1.728,-0.266,-0.065,0.920
