epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1584449019346,2020-03-17T12:43:39.346,0.000,0.610,-0.816,0.023
1584449019365,2020-03-17T12:43:39.365,0.019,0.610,-0.473,0.206
1584449019386,2020-03-17T12:43:39.386,0.040,1.128,-0.221,-0.061
1584449019405,2020-03-17T12:43:39.405,0.059,1.113,0.053,-0.038
1584449019425,2020-03-17T12:43:39.425,0.079,1.120,0.221,0.137
1584449019444,2020-03-17T12:43:39.444,0.098,0.976,0.541,0.076
1584449019465,2020-03-17T12:43:39.465,0.119,0.892,0.633,-0.008
1584449019485,2020-03-17T12:43:39.485,0.139,0.846,0.290,-0.145
1584449019504,2020-03-17T12:43:39.504,0.158,0.633,-0.236,-0.412
1584449019525,2020-03-17T12:43:39.525,0.179,0.701,-0.473,-0.595
1584449019544,2020-03-17T12:43:39.544,0.198,0.701,-0.053,-0.678
1584449019565,2020-03-17T12:43:39.565,0.219,0.838,0.412,-0.709
1584449019584,2020-03-17T12:43:39.584,0.238,0.861,0.473,-0.640
1584449019604,2020-03-17T12:43:39.604,0.258,0.823,0.381,-0.564
1584449019625,2020-03-17T12:43:39.625,0.279,0.816,0.107,-0.526
1584449019644,2020-03-17T12:43:39.644,0.298,0.709,-0.145,-0.473
1584449019664,2020-03-17T12:43:39.664,0.318,0.648,-0.229,-0.373
1584449019683,2020-03-17T12:43:39.683,0.337,0.678,0.267,-0.107
1584449019704,2020-03-17T12:43:39.704,0.358,0.709,0.907,0.107
1584449019723,2020-03-17T12:43:39.723,0.377,0.724,0.716,0.145
1584449019743,2020-03-17T12:43:39.743,0.397,0.564,0.137,0.168
1584449019762,2020-03-17T12:43:39.762,0.416,0.419,-0.023,0.335
1584449019783,2020-03-17T12:43:39.783,0.437,0.419,0.244,0.427
1584449019803,2020-03-17T12:43:39.803,0.457,0.495,0.655,0.434
1584449019822,2020-03-17T12:43:39.822,0.476,0.434,1.029,0.419
1584449019843,2020-03-17T12:43:39.843,0.497,0.373,0.945,0.335
1584449019862,2020-03-17T12:43:39.862,0.516,0.191,0.252,0.221
1584449019882,2020-03-17T12:43:39.882,0.536,0.091,-0.328,0.000
1584449019901,2020-03-17T12:43:39.901,0.555,0.236,-0.465,-0.198
1584449019922,2020-03-17T12:43:39.922,0.576,0.351,-0.373,-0.282
1584449019942,2020-03-17T12:43:39.942,0.596,0.419,-0.290,-0.457
1584449019962,2020-03-17T12:43:39.962,0.616,0.724,-0.198,-0.602
1584449019982,2020-03-17T12:43:39.982,0.636,0.930,-0.305,-0.694
1584449020001,2020-03-17T12:43:40.001,0.655,1.159,-0.480,-0.762
1584449020022,2020-03-17T12:43:40.022,0.676,1.448,-0.747,-0.785
