epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1584449545116,2020-03-17T12:52:25.116,0.000,-0.392,-0.912,-0.177
1584449545135,2020-03-17T12:52:25.135,0.019,-0.397,-0.920,-0.181
1584449545156,2020-03-17T12:52:25.156,0.040,-0.393,-0.919,-0.182
1584449545175,2020-03-17T12:52:25.175,0.059,-0.393,-0.920,-0.183
1584449545195,2020-03-17T12:52:25.195,0.079,-0.399,-0.917,-0.185
1584449545216,2020-03-17T12:52:25.216,0.100,-0.404,-0.915,-0.184
1584449545235,2020-03-17T12:52:25.235,0.119,-0.409,-0.915,-0.182
1584449545255,2020-03-17T12:52:25.255,0.139,-0.411,-0.915,-0.179
1584449545274,2020-03-17T12:52:25.274,0.158,-0.408,-0.916,-0.180
1584449545295,2020-03-17T12:52:25.295,0.179,-0.401,-0.917,-0.179
1584449545314,2020-03-17T12:52:25.314,0.198,-0.397,-0.917,-0.174
1584449545334,2020-03-17T12:52:25.334,0.218,-0.397,-0.917,-0.166
1584449545355,2020-03-17T12:52:25.355,0.239,-0.398,-0.917,-0.162
1584449545374,2020-03-17T12:52:25.374,0.258,-0.395,-0.917,-0.164
1584449545394,2020-03-17T12:52:25.394,0.278,-0.390,-0.915,-0.164
1584449545414,2020-03-17T12:52:25.414,0.298,-0.390,-0.917,-0.168
1584449545434,2020-03-17T12:52:25.434,0.318,-0.396,-0.915,-0.175
1584449545453,2020-03-17T12:52:25.453,0.337,-0.396,-0.920,-0.175
1584449545474,2020-03-17T12:52:25.474,0.358,-0.384,-0.925,-0.164
1584449545493,2020-03-17T12:52:25.493,0.377,-0.364,-0.924,-0.156
1584449545513,2020-03-17T12:52:25.513,0.397,-0.359,-0.924,-0.155
1584449545534,2020-03-17T12:52:25.534,0.418,-0.373,-0.926,-0.159
1584449545553,2020-03-17T12:52:25.553,0.437,-0.387,-0.925,-0.161
1584449545573,2020-03-17T12:52:25.573,0.457,-0.403,-0.918,-0.162
1584449545592,2020-03-17T12:52:25.592,0.476,-0.416,-0.907,-0.165
1584449545613,2020-03-17T12:52:25.613,0.497,-0.412,-0.910,-0.167
1584449545632,2020-03-17T12:52:25.632,0.516,-0.390,-0.921,-0.172
1584449545652,2020-03-17T12:52:25.652,0.536,-0.378,-0.928,-0.173
1584449545673,2020-03-17T12:52:25.673,0.557,-0.384,-0.925,-0.178
1584449545692,2020-03-17T12:52:25.692,0.576,-0.400,-0.917,-0.187
1584449545712,2020-03-17T12:52:25.712,0.596,-0.412,-0.912,-0.190
1584449545731,2020-03-17T12:52:25.731,0.615,-0.411,-0.914,-0.186
1584449545752,2020-03-17T12:52:25.752,0.636,-0.405,-0.917,-0.185
1584449545771,2020-03-17T12:52:25.771,0.655,-0.401,-0.920,-0.185
1584449545791,2020-03-17T12:52:25.791,0.675,-0.401,-0.920,-0.188
1584449545812,2020-03-17T12:52:25.812,0.696,-0.398,-0.917,-0.184
1584449545831,2020-03-17T12:52:25.831,0.715,-0.399,-0.915,-0.175
1584449545852,2020-03-17T12:52:25.852,0.736,-0.400,-0.916,-0.170
1584449545871,2020-03-17T12:52:25.871,0.755,-0.401,-0.919,-0.169
1584449545891,2020-03-17T12:52:25.891,0.775,-0.396,-0.919,-0.168
