epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1584016715687,2020-03-12T12:38:35.687,0.000,0.465,0.130,-0.366
1584016715708,2020-03-12T12:38:35.708,0.021,0.724,0.297,-0.953
1584016715727,2020-03-12T12:38:35.727,0.040,0.701,-0.130,-0.633
1584016715747,2020-03-12T12:38:35.747,0.060,0.663,-0.221,-0.633
1584016715766,2020-03-12T12:38:35.766,0.079,0.640,-0.191,-0.732
1584016715787,2020-03-12T12:38:35.787,0.100,0.747,-0.244,-0.755
1584016715806,2020-03-12T12:38:35.806,0.119,0.777,-0.137,-0.701
1584016715826,2020-03-12T12:38:35.826,0.139,0.716,-0.122,-0.579
1584016715847,2020-03-12T12:38:35.847,0.160,0.747,0.000,-0.465
1584016715866,2020-03-12T12:38:35.866,0.179,0.762,0.137,-0.282
1584016715886,2020-03-12T12:38:35.886,0.199,0.724,0.221,-0.053
1584016715905,2020-03-12T12:38:35.905,0.218,0.800,0.396,0.061
1584016715926,2020-03-12T12:38:35.926,0.239,0.823,0.465,0.206
1584016715945,2020-03-12T12:38:35.945,0.258,0.838,0.549,0.297
1584016715965,2020-03-12T12:38:35.965,0.278,0.938,0.541,0.267
1584016715986,2020-03-12T12:38:35.986,0.299,0.945,0.541,0.244
1584016716005,2020-03-12T12:38:36.005,0.318,0.945,0.518,0.229
1584016716025,2020-03-12T12:38:36.025,0.338,0.945,0.465,0.122
1584016716044,2020-03-12T12:38:36.044,0.357,0.884,0.442,0.061
1584016716065,2020-03-12T12:38:36.065,0.378,0.877,0.373,-0.038
1584016716084,2020-03-12T12:38:36.084,0.397,0.808,0.274,-0.198
1584016716105,2020-03-12T12:38:36.105,0.418,0.701,0.198,-0.373
1584016716124,2020-03-12T12:38:36.124,0.437,0.663,0.084,-0.488
1584016716144,2020-03-12T12:38:36.144,0.457,0.579,0.008,-0.549
1584016716165,2020-03-12T12:38:36.165,0.478,0.640,-0.038,-0.587
1584016716184,2020-03-12T12:38:36.184,0.497,0.655,-0.038,-0.587
1584016716204,2020-03-12T12:38:36.204,0.517,0.633,-0.084,-0.511
1584016716223,2020-03-12T12:38:36.223,0.536,0.747,-0.008,-0.358
1584016716244,2020-03-12T12:38:36.244,0.557,0.808,0.137,-0.267
1584016716263,2020-03-12T12:38:36.263,0.576,0.762,0.252,-0.137
1584016716283,2020-03-12T12:38:36.283,0.596,0.846,0.343,0.030
1584016716304,2020-03-12T12:38:36.304,0.617,0.838,0.252,0.038
1584016716323,2020-03-12T12:38:36.323,0.636,0.823,0.175,0.084
1584016716343,2020-03-12T12:38:36.343,0.656,0.762,0.297,0.046
1584016716362,2020-03-12T12:38:36.362,0.675,0.587,0.259,-0.069
1584016716383,2020-03-12T12:38:36.383,0.696,0.625,0.191,-0.114
1584016716402,2020-03-12T12:38:36.402,0.715,0.556,0.160,-0.160
